sku,name,line,category,targetMarket,priceRange,priceMin,priceMax,bomTotal,confidence,lastUpdated,specs
SW-NANO-001,SkyWatch Nano,SkyWatch,detection,"Hobbyists, makers, educational",$50-100,50,100,66,verified,2026-01-09,detectionRange=30-50m (daylight); processingSpeed=5-10 FPS; powerConsumption=2-4W; operatingTemp=0°C to 40°C; dimensions=85 × 56 × 30mm; weight=~150g assembled; connectivity=WiFi 2.4/5GHz; storage=32GB microSD
SW-STD-001,SkyWatch Standard,SkyWatch,detection,"Homeowners, small property",$100-250,100,250,209.99,verified,2026-01-09,"detectionRange=50-150m; processingSpeed=15-30 FPS; powerConsumption=4-10W; operatingTemp=-10°C to 50°C; dimensions=150 × 100 × 80mm; weight=~400g assembled; connectivity=WiFi, Ethernet (PoE optional); storage=64GB microSD"
SW-PRO-001,SkyWatch Pro,SkyWatch,detection,"Farms, estates, commercial property",$250-600,250,600,495,verified,2026-01-09,"detectionRange=150-500m (visual), 500m-2km (RF); processingSpeed=30+ FPS; powerConsumption=8-18W; operatingTemp=-20°C to 60°C; dimensions=200 × 150 × 120mm; weight=~1.2kg assembled; connectivity=WiFi, Ethernet, PoE+; storage=128GB+ SSD recommended"
SW-MOB-001,SkyWatch Mobile,SkyWatch,detection,"Security patrols, event staff",$200-500,200,500,370.99,verified,2026-01-09,"detectionRange=100-300m; processingSpeed=15-25 FPS; powerConsumption=6-12W; batteryLife=3-5 hours; operatingTemp=-10°C to 50°C; dimensions=220 × 150 × 40mm; weight=~800g with battery; connectivity=WiFi, Bluetooth, optional LTE"
SW-THM-001-B,SkyWatch Thermal (Budget),SkyWatch,detection,"24/7 operations, night security",$400-800,400,800,467.99,verified,2026-01-09,"detectionRange=100-500m (thermal), 50-300m (visible); processingSpeed=15-30 FPS; powerConsumption=8-15W; operatingTemp=-20°C to 60°C; thermalResolution=160×120; thermalSensitivity=<50mK NETD"
SW-THM-001-P,SkyWatch Thermal (Pro),SkyWatch,detection,"24/7 operations, night security","$1,000-1,500",1000,1500,1370,verified,2026-01-09,"detectionRange=100-500m (thermal), 50-300m (visible); processingSpeed=15-30 FPS; powerConsumption=8-15W; operatingTemp=-20°C to 60°C; thermalResolution=320×256; thermalSensitivity=<50mK NETD"
SW-MAR-001,SkyWatch Marine,SkyWatch,detection,"Vessels, marinas, coastal facilities","$600-2,000",600,2000,639.99,verified,2026-01-09,"detectionRange=200-800m; processingSpeed=20-30 FPS; powerConsumption=8-15W; operatingTemp=-20°C to 60°C; ipRating=IP67; stabilization=2-axis gyro, ±30° roll, ±20° pitch"
SW-MESH-001-N,SkyWatch Mesh (Node),SkyWatch,detection,"Large perimeters, farms, industrial sites",$150-200/node,150,200,158,verified,2026-01-09,"detectionRange=100-200m per node; processingSpeed=15-25 FPS; powerConsumption=5-10W; connectivity=Ethernet, WiFi mesh"
SW-MESH-001-C,SkyWatch Mesh (Central),SkyWatch,detection,"Large perimeters, farms, industrial sites",$350-400,350,400,370,verified,2026-01-09,"detectionRange=N/A - aggregation server; processingSpeed=N/A; powerConsumption=15-30W; connectivity=Ethernet, WiFi; storage=256GB NVMe"
SW-ENT-001,SkyWatch Enterprise,SkyWatch,detection,"Corporate campuses, critical infrastructure","$5,000-20,000",5000,20000,8300,verified,2026-01-09,"detectionRange=1-5km (multi-sensor); processingSpeed=30+ FPS; powerConsumption=50-100W; connectivity=Ethernet, WiFi, MQTT, API"
NS-LITE-001,NetSentry Lite,NetSentry,countermeasure,"Makers, hobbyists, testing",$150-400,150,400,210,verified,2026-01-09,detectionRange=50-100m; launchRange=5-15m; responseTime=200-500ms; reload=Manual; netSize=1.5m weighted
NS-STD-001,NetSentry Standard,NetSentry,countermeasure,Property protection,$400-800,400,800,499.99,verified,2026-01-09,detectionRange=100-200m; launchRange=15-30m; responseTime=50ms; reload=CO2 cartridge replacement; netSize=2m weighted; costPerShot=$1-2
NS-PRO-001,NetSentry Pro,NetSentry,countermeasure,Security professionals,"$800-2,000",800,2000,1015,verified,2026-01-09,detectionRange=200-500m; launchRange=25-50m; responseTime=50ms; reload=Air tank refill (free); netSize=3m auto-deploy
